admission_date,income_monthly_amount,balance_amount,montoOR,cantiOR,transaOR,montoDE,cantiDE,transaDE,clasifica
1,2246.65,625.95,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,500.78,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,375.61,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,60000.0,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,70000.0,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,10017.3,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,250.11,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,64705.11,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
1,2246.65,59212.91,37449.9,11.0,9362.0,13412.75,10.0,3353.0,1
24,1532.3,11387.0,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,3808.23,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,10834.5,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,3279.03,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,10282.0,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,2749.83,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,2220.63,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,9729.5,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,9177.0,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,1691.43,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,1162.23,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
24,1532.3,8624.5,4391.0,2.0,1098.0,18283.77,28.0,2032.0,0
2,5101.0,1337.51,496.1,3.0,248.0,2730.0,2.0,2730.0,1
2,5101.0,30000.0,496.1,3.0,248.0,2730.0,2.0,2730.0,1
2,5101.0,5000.0,496.1,3.0,248.0,2730.0,2.0,2730.0,1
2,5101.0,10000.0,496.1,3.0,248.0,2730.0,2.0,2730.0,1
2,5101.0,6924.06,496.1,3.0,248.0,2730.0,2.0,2730.0,1
2,5101.0,20431.71,496.1,3.0,248.0,2730.0,2.0,2730.0,1
